[(1.0, 113.0, 1.0),
 (1.0, 155.0, 1.0),
 (1.0, 166.0, 1.0),
 (1.0, 186.0, 1.0),
 (1.0, 236.0, 1.0),
 (1.0, 425.0, 1.0),
 (1.0, 606.0, 1.0),
 (1.0, 913.0, 1.0),
 (1.0, 340.0, 0.984732),
 (1.0, 475.0, 0.981981),
 (1.0, 266.0, 0.948683),
 (1.0, 309.0, 0.939958),
 (1.0, 351.0, 0.927173),
 (1.0, 765.0, 0.927173),
 (1.0, 161.0, 0.917663),
 (1.0, 337.0, 0.905715),
 (1.0, 775.0, 0.904534),
 (1.0, 928.0, 0.904534),
 (1.0, 932.0, 0.900539),
 (1.0, 555.0, 0.900149),
 (1.0, 845.0, 0.887164),
 (1.0, 349.0, 0.868599),
 (1.0, 374.0, 0.866025),
 (1.0, 518.0, 0.866025),
 (1.0, 603.0, 0.866025),
 (1.0, 90.0, 0.856824),
 (1.0, 917.0, 0.852803),
 (1.0, 217.0, 0.842701),
 (1.0, 75.0, 0.840168),
 (1.0, 479.0, 0.832951),
 (1.0, 32.0, 0.825723),
 (1.0, 650.0, 0.824908),
 (1.0, 780.0, 0.824772),
 (1.0, 385.0, 0.818182),
 (1.0, 419.0, 0.818009),
 (1.0, 287.0, 0.817443),
 (1.0, 581.0, 0.817312),
 (1.0, 561.0, 0.816497),
 (1.0, 582.0, 0.816497),
 (1.0, 927.0, 0.816497),
 (1.0, 23.0, 0.81322),
 (1.0, 328.0, 0.812939),
 (1.0, 33.0, 0.812037),
 (1.0, 187.0, 0.807776),
 (1.0, 909.0, 0.807031),
 (1.0, 908.0, 0.802111),
 (1.0, 21.0, 0.801784),
 (1.0, 889.0, 0.794719),
 (1.0, 733.0, 0.79222),
 (1.0, 420.0, 0.790569),
 (1.0, 44.0, 0.778625),
 (1.0, 157.0, 0.776902),
 (1.0, 249.0, 0.774075),
 (1.0, 860.0, 0.771137),
 (1.0, 605.0, 0.770516),
 (1.0, 892.0, 0.760263),
 (1.0, 632.0, 0.759257),
 (1.0, 738.0, 0.756644),
 (1.0, 367.0, 0.755929),
 (1.0, 208.0, 0.7488),
 (1.0, 728.0, 0.742611),
 (1.0, 874.0, 0.739996),
 (1.0, 762.0, 0.73621),
 (1.0, 843.0, 0.73203),
 (1.0, 251.0, 0.731727),
 (1.0, 668.0, 0.730699),
 (1.0, 390.0, 0.729591),
 (1.0, 294.0, 0.727607),
 (1.0, 867.0, 0.727607),
 (1.0, 408.0, 0.726135),
 (1.0, 574.0, 0.722222),
 (1.0, 214.0, 0.72175),
 (1.0, 388.0, 0.721725),
 (1.0, 779.0, 0.721688),
 (1.0, 484.0, 0.720747),
 (1.0, 835.0, 0.712424),
 (1.0, 289.0, 0.707107),
 (1.0, 804.0, 0.706897),
 (1.0, 396.0, 0.706699),
 (1.0, 378.0, 0.703167),
 (1.0, 369.0, 0.701619),
 (1.0, 891.0, 0.698212),
 (1.0, 878.0, 0.694279),
 (1.0, 543.0, 0.68621),
 (1.0, 401.0, 0.684089),
 (1.0, 153.0, 0.68313),
 (1.0, 220.0, 0.681994),
 (1.0, 72.0, 0.681385),
 (1.0, 22.0, 0.681097),
 (1.0, 375.0, 0.676766),
 (1.0, 258.0, 0.676123),
 (1.0, 686.0, 0.674617),
 (1.0, 122.0, 0.671222),
 (1.0, 448.0, 0.670645),
 (1.0, 829.0, 0.670355),
 (1.0, 9.0, 0.668145),
 (1.0, 667.0, 0.667764),
 (1.0, 701.0, 0.666887),
 (1.0, 435.0, 0.666667),
 (1.0, 851.0, 0.666667)]
